PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
2,,0,10,-35,R,10,P,R,,TOP,,SPRINT,,,,Y TRADE,OFF,,,,,CUP LT,"PASS, COMP",,,SLU,,,,,,,11
3,,1,10,-45,L,6,R,L,,,,,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
4,,2,4,49,L,0,P,LM,,SWEAT,,SWEAT,,,,,OPEN PILE,,,,,TEMP,"PASS, INT",,,,,,,,,,11
18,,0,10,-25,R,2,R,R,,SPRINT,,SPRINT,,,,Y SOAR,OFF WK STACK,,,,,,RUSH,,,SLU,,,,,,,11
19,,2,8,-27,L,4,P,L,,TOP,,SPRINT,,,,X FLUTTER,H,,,,,,"PASS, COMP",,,SLU,,,,,,,11
20,,3,4,-31,R,-2,R,R,,SPRINT,,SPRINT,,,,,OFF STR SNUG,,,,,,RUSH,,,,,,,,,,11
32,,0,10,-25,R,-1,R,R,,SPRINT,,SPRINT,,,,Y SOAR,OFF WK STACK,,,,,,RUSH,,,SLU,,,,,,,11
33,,2,11,-24,R,-4,P,R,,,,,,,,,,,,,,CUP LT,SACK,,,SLU,,,,,,,11
34,,3,15,-20,R,0,P,R,,,,,,,,,,,,,,,"PASS, INC",,,,,,,,,,11
44,,0,10,-26,R,0,P,R,,TEX,,TEX,STRONG,,,Z RETURN,,,,,,CALL,"PASS, INC",,,SLU,,,,,,,11
45,,2,10,-26,R,0,R,R,,,,,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
46,,3,10,-26,M,-9,P,RM,,TOP,,TOP,,,,,OFF WK SNUG,,,,,CUP RT,SACK,,,,,,,,,,11
54,,0,10,-24,R,66,P,R,,SWEAT,,SWEAT,,,,H OUT,OPEN WK PILE,,,,,CUP LT,"PASS, COMP",,,SLU,,,,,,,11
55,,1,10,10,M,0,P,RM,,SWEAT,,SWEAT,WEAK,,,,OFF,,,,,BOLT RT,"PASS, INC",,,SLU,,,,,,,11
56,,2,10,10,M,5,R,RM,,TOP,,,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
57,,3,5,5,R,0,P,R,,TOP,,,,,,,,,,,,,"PASS, INC",,,,,,,,,,11
74,,0,10,-24,L,-7,P,L,,SPRINT,,SPRINT,,,,,OFF,,,,,CUP RT,SACK,,,SLU,,,,,,,11
75,,2,17,-17,M,4,P,M,,TAP,,TAP,WEAK,,,H RETURN,OFF,,,,,,"PASS, COMP",,,SLU,,,,,,,11
76,,3,13,-21,L,4,R,LM,,TOP,,TOP,,,,,,,,,,,RUSH,,,,,,,,,,11
84,,0,10,-34,R,0,R,R,,TOP,,TOP,,,,,OFF,,,,,,RUSH,,,SLU,,,,,,,11
85,,2,10,-34,L,1,P,LM,,SPRINT,,SPRINT,WEAK,,,,OFF,,,,,TEMP,"PASS, COMP",,,SLU,,,,,,,11
86,,3,9,-35,L,-10,P,L,,SWEAT,,SWEAT,WEAK,,,Z IN,OFF WK STACK,,,,,CUP RT,"PASS, COMP, PENALTY",,,SLU,,,,,,,11
88,,3,19,-25,L,-12,R,L,,SPRINT,,SPRINT,,,,,OFF,,,,,,RUSH,,,,,,,,,,11
96,,0,10,-28,R,0,R,R,,SPIKE,,SPIKE,,,,X ORBIT,,,,,,,RUSH,,,SLU,,,,,,,PORK
97,,2,10,-28,R,0,R,R,,SPIKE,,SPIKE,,,,X SOAR,,,,,,,RUSH,,,SLU,,,,,,,PORK
98,,3,10,-28,R,5,P,R,,SPRINT,,SPRINT,WEAK,,,,OFF,,,,,CUP LT,"PASS, COMP",,,,,,,,,,11
104,,0,10,-43,R,0,P,R,,TOP,,TOP,WEAK,,,,OFF,,,,,,"PASS, INC",,,SLU,,,,,,,11
105,,2,10,-43,R,13,P,R,,SWEAT,,SWEAT,,,,,OPEN,,,,,CUP RT,"PASS, COMP",,,SLU,,,,,,,11
106,,1,10,44,R,0,P,R,,SPRINT,,SPRINT,WEAK,,,,STR SNUG,,,,,TEMP,"PASS, INC",,,SLU,,,,,,,11
