PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
46,,1,10,-48,L,0,R,,,,,BOMBER,G,,,,,,,,,BIG,THROW AWAY,,,SLU,,,,,,,11
47,,2,10,-48,L,0,P,,,,,SPRINT,G,,,,,,,,,TEMP,INC,,,SLU,,,,,,,11
48,,3,10,-48,L,5,R,,,,,TOP,G,,,,,,,,,,GAIN,,,SLU,,,,,,,11
49,,4,5,47,L,7,P,,,,,BOMBER,G,,,,,,,,,SOLID SNAZ,GAIN,,,SLU,,,,,,,11
50,,1,10,39,L,0,P,,,,,BOMBER,G,,,,,,,,,CHARGER RT,INTERCEPTION,,,SLU,,,,,,,11
51,,0,10,41,R,15,R,,,,,TOP,G,,,,,,,,,,GAIN,,,SLU,,,,,,,11
52,,1,10,26,L,-4,P,,,,,TOP,G,,,,,,,,,CHARGER LT,"PASS , COMP , TD , PENALTY",,,SLU,,,,,,,11
53,,2,14,30,R,2,P,,,,,TOP,G,,,,WIDE,,,,,COLD,"PASS , COMP",,,SLU,,,,,,,11
54,,3,12,28,L,0,R,,,,,TOP,G,,,,,,,,,,THROW AWAY,,,SLU,,,,,,,11
55,,4,12,28,L,,P,,,,,SPRINT,G,,,,,,,,,SOLID 6 RT WILL,SACK,,,SLU,,,,,,,11
56,,1,10,19,R,-1,R,,,,,BOMBER,G,,,,,,,,,BIG,NO GAIN,,,SLU,,,,,,,11
57,,2,11,-19,R,1,P,,,,,TOP,G,,,,,,,,,SOLID,"PASS , COMP",,,SLU,,,,,,,11
58,,3,10,-20,L,0,P,,,,,BOMBER STAY,G,,,,,,,,,SOLID 6 RT WAX,THROW AWAY,,,SLU,,,,,,,11
59,,0,10,-25,L,0,P,,,,,TOP,G,,,,,,,,,SOLID,INC,,,SLU,,,,,,,11
60,,2,10,-25,L,5,P,,,,,TOP,G,,,,,,,,,SOLID,"PASS , COMP",,,SLU,,,,,,,11
61,,3,5,-30,M,-2,P,,,,,SPRINT,G,,,,,,,,,TEMP,SACK,,,SLU,,,,,,,11
62,,4,7,-28,R,0,P,,,,,BOMBER,G,,,,,,,,,SOLID SNAZ,INC,,,SLU,,,,,,,11
