PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
97,,1,10,-47,M,-5,,,,,,,,,,,,,,,,,PENALTY NP,,,SLU,,,,,,,
98,,1,15,-42,M,4,R,RM,,SPILL,,SPILL,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,PORK
99,,2,11,-46,L,-5,P,L,,SWEAT,,SWEAT,WEAK,,,Z IN,,,,,,LOS LT,"PASS, COMP",,,SLU,,,,,,,11
101,,3,16,-41,L,0,P,L,,SPRINT,,SPRINT,,,,H IN,,,,,,CUP RT,"PASS, INC",,,,,,,,,,11
113,,0,10,-21,R,15,P,R,,,,,,,,,,,,,,,"PASS, INC, PENALTY",,,SLU,,,,,,,11
114,,1,10,-36,R,0,P,R,,TOP,,TOP,,,,,,,,,,CUP LT,"PASS, INC",,,SLU,,,,,,,11
116,,2,10,-36,R,0,P,R,,SWEAT,,SWEAT,,,,H OVER,H,,,,,,"PASS, INC",,,SLU,,,,,,,11
117,,3,10,-36,R,-8,P,R,,TOP,,TOP,,,,Z RETURN,,,,,,CUP LT,SACK,,,,,,,,,,11
118,,1,10,-43,R,0,P,R,,,,,,,,,,,,,,,"PASS, INC",,,SLU,,,,,,,11
119,,2,10,-43,R,7,P,R,,SPRINT,,SPRINT,,,,,STR SNUG,,,,,TEMP,SCRAMBLE,,,SLU,,,,,,,11
120,,3,3,50,R,-11,P,R,,TOP,,SPRINT,WEAK,,,Y FLIGHT,OFF,,,,,CALL,FUMBLE,,,SLU,,,,,,,11
121,,1,10,-39,R,-1,R,R,,TOP,,TOP,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
122,,2,9,-40,R,21,P,RM,,SPILL,,SPILL,,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,PORK
123,,1,10,39,R,0,P,R,,TOP,,TOP,,,,,,,,,,,"PASS, INC",,,SLU,,,,,,,11
124,,2,10,39,R,0,P,R,,,,,WEAK,,,,,,,,,,"PASS, INC",,,SLU,,,,,,,11
125,,3,10,39,R,-17,P,R,,TRIPS,,TRIPS,,,,Y SOAR,WIDE,,,,,CUP LT,SACK,,,SLU,,,,,,,11
135,,0,10,-26,L,4,R,R,,SPRINT,,SPRINT,WEAK,,,X SPEED,,,,,,,RUSH,,,SLU,,,,,,,11
136,,2,6,-30,L,25,P,R,,SPREAD,,SPREAD,,,,,,,,,,CUP RT,"PASS, COMP",,,SLU,,,,,,,11
137,,1,10,45,M,1,R,LM,,,,,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
138,,2,9,44,L,0,P,RM,,SPRINT,,SPRINT,,,,H IN,WK STACK,,,,,CUP LT,SCRAMBLE,,,SLU,,,,,,,11
139,,3,9,44,L,15,P,R,,,,,,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
140,,1,10,29,L,0,P,R,,TAP,,TAP,WEAK,,,,,,,,,CALL,PASS INT,,,SLU,,,,,,,11
148,,0,10,46,R,5,P,LM,,TOP,,SWEAT,,,,Z FLIGHT,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
149,,2,5,41,R,0,,,,,,,,,,,,,,,,,TIMEOUT NP,,,SLU,,,,,,,
150,,2,5,41,R,-10,P,L,,SPRINT,,SPRINT,,,,,WK SNUG,,,,,TEMP,"PASS, COMP, PENALTY",,,SLU,,,,,,,11
151,,2,15,-49,L,17,P,L,,TRIPS,,TRIPS,,,,Y SOAR,,,,,,CUP RT,"PASS, COMP",,,SLU,,,,,,,11
152,,1,10,34,M,6,P,RM,,,,,,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
153,,2,4,28,L,0,P,L,,SPRINT,,SPRINT,,,,,,,,,,CUP RT,"PASS, INC",,,SLU,,,,,,,11
153,,2,9,33,L,0,P,L,,SPRINT,,SPRINT,,,,,,,,,,CUP RT,"PASS, INC",,,SLU,,,,,,,11
154,,3,9,33,L,9,P,L,,TOP,,SPRINT,,,,Y FLIGHT,OFF,,,,,CUP RT,"PASS, COMP",,,SLU,,,,,,,11
155,,1,10,24,L,0,P,L,,TAP,,TAP,,,,,,,,,,TEMP,"PASS, INC",,,SLU,,,,,,,11
156,,2,10,24,L,8,P,L,,SWEAT,,SWEAT,,,,,WK MID,,,,,CUP RT,SCRAMBLE,,,SLU,,,,,,,11
157,,3,2,16,R,5,P,R,,SPRINT,,SPRINT,,,,,WK SNUG,,,,,TEMP,"PASS, COMP",,,SLU,,,,,,,11
158,,1,10,11,L,0,P,L,,,,,,,,,,,,,,TEMP,"PASS, INT, TD",,,SLU,,,,,,,11
161,,0,10,-38,R,3,R,R,,SPRINT,,SPRINT,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
162,,2,5,-43,R,1,R,R,,TAP,,TAP,,,,,OFF,,,,,,RUSH,,,SLU,,,,,,,11
163,,3,4,-44,M,15,P,LM,,SPRINT,,SPRINT,,,,,STR SNUG,,,,,TEMP,"PASS, INC, PENALTY",,,SLU,,,,,,,11
164,,1,10,41,R,-1,R,RM,,,,,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
165,,2,11,42,R,0,P,R,,TOP,,TOP,,,,,,,,,,CUP LT,"PASS, INC",,,SLU,,,,,,,11
166,,3,11,42,R,-5,P,R,,SPRINT,,SPRINT,WEAK,,,,,,,,,BOLT LT,PENALTY NO PLAY,,,SLU,,,,,,,11
167,,3,16,47,R,9,P,R,,SPRINT,,SPRINT,,,,,,,,,,CUP LT,"PASS, COMP",,,SLU,,,,,,,11
168,,4,7,38,L,0,P,L,,TOP,,TOP,,,,,,,,,,CUP RT,"PASS, INT",,,SLU,,,,,,,11
