PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
9,,0,10,-34,L,13,P,L,,TEX,,SWEAT,WEAK,,,X FLIGHT,,,,,,SAN DIEGO STAY RT,"PASS, COMP",,,SLU,,,,,,,11
10,,1,10,-47,R,2,R,R,,TEX,,TEX,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,11
12,,1,10,40,R,5,P,R,,,,,STRONG,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
13,,2,5,35,R,-1,P,L,,SPREAD,,SPREAD,WEAK,,,,DBL STACK,,,,,,"PASS, COMP",,,SLU,,,,,,,11
14,,3,6,36,L,3,P,L,,TRIPS,,SPRINT,STRONG,,,Y SNIP,OFF,,,,,,"PASS, COMP",,,SLU,,,,,,,11
15,,4,3,33,L,2,R,L,,TUB,,TUB,WEAK,,,,,,,,,,RUSH,,,SLU,,,,,,,11
25,,0,10,-20,R,4,P,R,,SPRINT,,SPRINT,STRONG,,,,OFF,,,,,,"PASS, COMP",,,SLU,,,,,,,11
26,,2,6,-24,R,10,P,R,,TOP,,TOP,WEAK,,,,OPEN,,,,,CALL,"PASS, COMP",,,SLU,,,,,,,11
27,,1,10,-34,R,4,R,R,,TEX,,TEX,WEAK,,,,,,,,,,RUSH,,,SLU,,,,,,,11
28,,2,6,-38,R,4,P,R,,SPRINT,,SPRINT,WEAK,,,,,,,,,CUP,"PASS, COMP",,,SLU,,,,,,,11
29,,3,2,-42,L,2,R,L,,,,,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,11
30,,1,10,-44,L,2,R,L,,TEX,,TYE,WEAK,,,,,,,,,,RUSH,,,SLU,,,,,,,11
31,,2,8,-46,L,5,P,LM,,TRIPS,,SPRINT,WEAK,,,Y TRADE,OPEN,,,,,CALL,"PASS, COMP",,,SLU,,,,,,,11
32,,3,3,49,L,2,R,L,,TEX,,TEX,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,ALPHA
41,,0,10,-33,L,9,R,L,,TEX,,TEX,,,,,EMPTY,,,,,,RUSH,,,SLU,,,,,,,1
42,,2,1,-42,L,0,P,L,,EMPTY,,SWEAT,,,,,EMPTY,,,,,,"PASS, INC",,,SLU,,,,,,,1
43,,3,1,-42,L,0,R,L,,TOP,,TOP,WEAK,,,,,,,,,,RUSH,,,SLU,,,,,,,11
51,,0,10,-38,L,0,P,L,,TAP,,TAP,WEAK,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
52,,2,10,-38,R,30,P,RM,,TEX,,TEX,,,,,,,,,,CHARGER LT,"PASS, COMP",,,SLU,,,,,,,11
53,,1,10,32,R,6,P,R,,,,,,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
54,,2,4,26,L,2,P,L,,SPRINT,,SPRINT,WEAK,,,,OFF,,,,,,"PASS, COMP",,,SLU,,,,,,,11
55,,3,2,24,R,0,,,,,,,,,,,,,,,,,TIMEOUT,,,SLU,,,,,,,
56,,3,2,24,R,1,R,R,,SPILL,,SPILL,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,BEEF
57,,4,1,23,R,2,R,R,,SPILL,,SPILL,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,PORK
11,,2,8,-49,R,11,P,R,,SPRINT,,SPRINT,WEAK,,,,OPEN,,,,,TEMP,"PASS, COMP",,,SLU,,,,,,,11
58,,1,10,21,R,0,P,R,,TOP,,TOP,STRONG,,,,STR STACK,,,,,CUP LT,"PASS, INT",,,SLU,,,,,,,11
66,,0,10,-7,M,-2,R,LM,,TEX,,TEX,WEAK,,,,,,,,,,RUSH,,,SLU,,,,,,,11
67,,2,12,-5,L,8,R,L,,SPRINT,,SPRINT,,,,,,,,,,,RUSH,,,,,,,,,,11
69,,0,10,-30,R,4,P,R,,TEX,,TEX,WEAK,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
70,,2,6,-34,L,-10,R,L,,SPRINT,,SPRINT,WEAK,,,X SPEED,H,,,,,,"RUSH, PENALTY",,,SLU,,,,,,,11
71,,2,16,-24,L,5,,L,,,,,,,,,,,,,,,TIMEOUT,,,SLU,,,,,,,
72,,2,11,-29,L,0,P,L,,SPRINT,,SPRINT,STRONG,,,,,,,,,,"PASS,INT,TOUCHDOWN",,,SLU,,,,,,,11
75,,0,10,-25,L,-5,P,L,,SPRINT,,SPRINT,STRONG,,,,,,,,,,SACK,,,SLU,,,,,,,11
76,,2,15,-20,R,1,R,R,,SPRINT,,SPRINT,WEAK,,,,,,,,,,RUSH,,,SLU,,,,,,,11
77,,3,14,-21,M,3,P,LM,,TEX,,TYE,STRONG,,,,,,,,,CUP LT,"PASS, COMP",,,SLU,,,,,,,11
86,,0,10,-20,L,13,P,,,TRIPS,,SPRINT,STRONG,,,Y SNIP,,,,,,,"PASS, COMP",,,SLU,,,,,,,
87,,1,10,-33,L,9,P,,,TEX,,TEX,WEAK,,,,,,,,,SAN DIEGO STAY RT,"PASS, COMP",,,SLU,,,,,,,11
88,,2,1,-42,R,0,R,,,SPRINT,,SPRINT,,,,,OFF,,,,,,RUSH,,,SLU,,,,,,,11
89,,3,1,-42,R,2,R,R,,SPILL,,SPILL,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,BEEF
90,,1,10,-44,R,1,R,R,,,,,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,11
91,,2,9,-45,R,0,P,R,,SPRINT,,SPRINT,WEAK,,,,,,,,,CHARGER,"PASS, INC",,,SLU,,,,,,,11
92,,3,9,-45,R,-3,P,R,,SPRINT,,SPRINT,WEAK,,,,OPEN,,,,,,SACK,,,SLU,,,,,,,11
100,,0,10,-22,R,6,R,R,,TEX,,TEX,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,11
101,,2,4,-28,R,3,R,R,,SPRINT,,SPRINT,STRONG,,,,OFF,,,,,,RUSH,,,SLU,,,,,,,11
102,,3,1,-31,M,0,P,LM,,SPRINT,,SPRINT,WEAK,,,,,,,,,TEMP,"PASS, INC",,,SLU,,,,,,,11
113,,0,10,-30,R,0,P,RM,,TOP,,TOP,WEAK,,,,,,,,,CALL,"PASS, INC",,,SLU,,,,,,,11
114,,2,10,-30,R,14,P,R,,SPRINT,,SPRINT,STRONG,,,,STR SNUG,,,,,TEMP,"PASS, COMP",,,SLU,,,,,,,
115,,1,10,-44,L,35,P,L,,SPRINT,,SPRINT,WEAK,,,,STR SNUG,,,,,CUP RT,"PASS, COMP",,,SLU,,,,,,,
116,,1,10,21,L,9,P,L,,TEX,,TEX,STRONG,,,,,,,,,CALL,SCRAMBLE,,,SLU,,,,,,,11
117,,2,1,12,L,0,P,L,,TAP,,TAP,STRONG,,,,,,,,,TEMP,"PASS, INC",,,SLU,,,,,,,11
118,,3,1,12,L,1,R,L,,SPILL,,SPILL,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,BEEF
119,,1,10,11,L,0,P,L,,SPRINT,,SPRINT,STRONG,,,,STR SNUG,,,,,TEMP,"PASS, INC",,,SLU,,,,,,,11
120,,2,10,11,L,1,R,L,,SPILL,,SPILL,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,PORK
121,,3,9,10,L,0,P,L,,SPREAD,,SPREAD,STRONG,,,,,,,,,CUP LT,"PASS, INC",,,SLU,,,,,,,11
122,,4,9,10,L,0,P,L,,TAP,,TAP,STRONG,,,,,,,,,,"PASS, INC",,,SLU,,,,,,,11
131,,0,10,-25,L,10,P,L,,SWEAT,,SWEAT,WEAK,,,,OFF,,,,,BOLT RT,"PASS, COMP",,,SLU,,,,,,,11
131,,1,10,-35,R,-8,P,R,,SPRINT,,SPRINT,WEAK,,,,,,,,,CUP RT,SACK,,,SLU,,,,,,,11
