PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
20,,0,10,-35,L,17,P,L,,,,,STRONG,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
21,,1,10,48,M,0,R,R,,TEX,,TEX,WEAK,,,,,,,,,,RUSH,,,SLU,,,,,,,11
22,,2,10,48,R,0,P,R,,TEX,,TEX,WEAK,,,,Z WIDE,,,,,CHARGER LT,"PASS, INC",,,SLU,,,,,,,11
23,,3,10,48,R,2,P,R,,FLEX,,FLEX,STRONG,,,H SOAR,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
25,,1,10,21,L,0,P,L,,TRIPS,,TRIPS,WEAK,,,,WIDE,,,,,,"PASS, INC",,,SLU,,,,,,,11
26,,2,10,21,L,6,P,L,,,,,STRONG,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
27,,3,4,15,L,4,R,L,,TRIGGER,,TRIGGER,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,12
28,,1,10,11,L,-2,R,L,,,,,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,11
29,,2,12,13,L,13,P,L,,,,,STRONG,,,,,,,,,,"PASS, TD",,,SLU,,,,,,,11
36,,0,10,36,R,0,P,R,,SPRINT,,TOP,STRONG,,,Y TRADE,,,,,,BUTTER LT,"PASS, INC",,,SLU,,,,,,,11
37,,2,10,36,R,3,R,R,,TRIPS,,SPRINT,STRONG,,,Y SNIP,OFF WK MID,,,,,,"RUSH, PENALTY",,,SLU,,,,,,,11
38,,1,10,19,M,0,P,LM,,TEX,,TEX,STRONG,,,,,,,,,CALL,"PASS, INC",,,SLU,,,,,,,11
39,,2,10,19,M,9,P,RM,,,,,STRONG,,,,,,,,,,"PASS,INT,PENALTY",,,SLU,,,,,,,11
40,,1,10,10,M,10,P,RM,,SPILL,,SPILL,,,,,,,,,,,"PASS, TD",,,SLU,,,,,,,BEEF
44,,0,10,25,L,3,R,L,,,,,WEAK,,,,,,,,,,RUSH,,,SLU,,,,,,,11
45,,2,7,22,M,-7,R,LM,,TRIGGER,,TRIGGER,,,,H SOAR/H START,,,,,,,"RUSH, FUM",,,SLU,,,,,,,12
46,,3,14,29,L,0,R,L,,TRIGGER,,TRIGGER,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,12
47,,4,14,29,R,0,P,R,,TOP,,TOP,STRONG,,,,STR MID,,,,,CUP LT,"PASS, INT",,,SLU,,,,,,,11
53,,0,10,49,L,3,R,L,,TRIPS,,TRIPS,WEAK,,,,WIDE,,,,,,RUSH,,,SLU,,,,,,,11
54,,2,7,46,R,12,R,RM,,TEX,,TEX,STRONG,,,,WIDE,,,,,,RUSH,,,SLU,,,,,,,11
55,,1,10,34,R,0,P,R,,FLEX,,FLEX,WEAK,,,H SOAR,,,,,,TEMP,"PASS, INC",,,SLU,,,,,,,11
56,,2,10,34,R,-1,R,R,,TEX,,TEX,STRONG,,,,WIDE,,,,,,RUSH,,,SLU,,,,,,,11
57,,3,11,35,R,9,P,R,,TRIPS,,TRIPS,WEAK,,,,WIDE,,,,,,"PASS, COMP",,,SLU,,,,,,,11
60,,0,10,35,L,0,P,L,,SWEAT,,SWEAT,WEAK,,,,,,,,,BOLT RT,"PASS, INC",,,SLU,,,,,,,11
61,,2,10,35,L,12,R,L,,TRIGGER,,TRIGGER,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,12
62,,1,10,23,L,6,P,L,,TOP,,TOP,WEAK,,,,STR MID,,,,,,"PASS, COMP",,,SLU,,,,,,,11
63,,2,4,17,L,6,R,LM,,TRIGGER,,TRIGGER,WEAK,,,,,,,,,,RUSH,,,SLU,,,,,,,12
64,,1,10,11,L,0,P,L,,SPRINT,,TOP,STRONG,,,Y TRADE,OFF WK SNUG,,,,,,"PASS, INC",,,SLU,,,,,,,11
65,,2,10,11,L,9,R,L,,TRIGGER,,TRIGGER,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,12
66,,3,1,2,R,-2,R,RM,,TRIGGER,,TRIGGER,STRONG,,,,,,,,,,"RUSH, FUM",,,SLU,,,,,,,12
71,,0,10,-45,R,0,R,R,,,,,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,11
72,,2,10,-45,R,-3,R,R,,TRIGGER,,TRIGGER,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,12
73,,3,13,-42,M,0,R,RM,,TRIGGER,,TRIGGER,WEAK,,,,,,,,,,RUSH,,,SLU,,,,,,,12
81,,0,10,-14,R,-3,R,R,,,,,,,,,,,,,,,VICTORY,,,,,,,,,,
83,,0,10,-25,R,5,R,R,,SPRINT,,SPRINT,WEAK,,,,OFF STR SNUG,,,,,,RUSH,,,SLU,,,,,,,11
84,,2,5,-30,R,1,R,R,,TEX,,TEX,STRONG,,,,WIDE,,,,,,RUSH,,,SLU,,,,,,,11
85,,3,4,-31,R,0,P,R,,TEX,,TEX,STRONG,,,,,,,,,CALL,"PASS, INC",,,SLU,,,,,,,11
91,,0,10,20,L,10,P,LM,,SPRINT,,TOP,WEAK,,,Y TRADE,OFF STR SNUG,,,,,,"PASS, COMP",,,SLU,,,,,,,11
92,,1,10,10,L,10,P,L,,TOP,,,STRONG,,,,,,,,,DASH RT,"PASS, TD",,,SLU,,,,,,,11
99,,0,10,-16,L,7,P,L,,EMPTY,,TEX,,,,T SOAR,,,,,,CALL,"PASS, COMP",,,SLU,,,,,,,11
100,,2,3,-23,L,2,R,L,,SPRINT,,SPRINT,WEAK,,,,STR SNUG,,,,,,RUSH,,,SLU,,,,,,,11
101,,3,1,-25,L,0,R,L,,TEX,,TEX,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,11
115,,0,10,-22,R,0,P,R,,SPRINT,,SPRINT,STRONG,,,,,,,,,,"PASS, INC",,,SLU,,,,,,,11
116,,2,10,-22,R,21,P,R,,SPRINT,,TOP,STRONG,,,Y TRADE,OFF,,,,,,"PASS, COMP",,,SLU,,,,,,,11
117,,1,10,-43,R,0,R,R,,,,,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,11
118,,2,10,-43,R,0,R,R,,TRIPS,,TRIPS,WEAK,,,,WIDE,,,,,CALL,"PASS, SCRAMBLE",,,SLU,,,,,,,11
119,,3,10,-43,R,0,P,R,,TEX,,TEX,STRONG,,,,,,,,,CALL,"PASS, INT",,,SLU,,,,,,,11
129,,0,10,-5,R,-3,R,R,,TRIGGER,,TRIGGER,WEAK,,,,,,,,,,RUSH,,,SLU,,,,,,,12
130,,2,13,-2,R,0,P,R,,EMPTY,,TEX,,,,T SOAR,,,,,,CALL,"PASS, INC",,,SLU,,,,,,,11
131,,3,13,-2,R,16,R,R,,TRIGGER,,TRIGGER,,,,,,,,,,,RUSH,,,SLU,,,,,,,12
132,,1,10,-18,L,-2,R,L,,TOP,,TOP,STRONG,,,,STR MID,,,,,,RUSH,,,SLU,,,,,,,11
133,,2,12,-16,L,-2,R,L,,TRIGGER,,TRIGGER,,,,,,,,,,,RUSH,,,SLU,,,,,,,12
135,,3,14,-14,L,24,P,L,,EMPTY,,TEX,,,,T SOAR,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
136,,1,10,-38,L,7,R,L,,TRIGGER,,TRIGGER,,,,,,,,,,,RUSH,,,SLU,,,,,,,12
137,,2,3,-45,M,-2,P,RM,,TRIPS,,TRIPS,WEAK,,,,WIDE,,,,,,"PASS, COMP",,,SLU,,,,,,,11
138,,3,5,-43,L,5,R,L,,TRIGGER,,TRIGGER,,,,,,,,,,,RUSH,,,SLU,,,,,,,12
139,,1,10,-35,M,-1,R,L,,SPIN,,SPIN,,,,,,,,,,,RUSH,,,SLU,,,,,,,12
140,,2,11,-34,R,5,R,R,,SPILL,,SPILL,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,BEEF
141,,3,6,-39,R,-2,P,R,,SPILL,,SPILL,,,,,,,,,,,"PASS, SCRAMBLE",,,SLU,,,,,,,BEEF
148,,0,10,38,M,-3,R,,,,,,,,,,,,,,,,VICTORY,,,SLU,,,,,,,
149,,2,13,41,M,-3,,,,,,,,,,,,,,,,,VICTORY,,,,,,,,,,11
