PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
44,,0,10,-31,M,5,P,,,,,TOP,GUN,,,,,,,,,SOLID SNAZ,COMPLETE,,,SLU,,,,,,,11
45,,2,5,-36,L,-7,P,,,,,EMPTY TOP,GUN,,,,STR MID,,,,,STIFF MIKE,SACK,,,SLU,,,,,,,1
46,,3,12,-29,L,7,P,,,,,TOP,GUN,,,,,,,,,SOLID,COMPLETE,,,SLU,,,,,,,11
47,,0,10,-13,R,0,P,,,,,TOP,GUN,,,,OFF / STR MID,,,,,SOLID 7,INCOMPLETE,,,SLU,,,,,,,11
48,,2,10,-13,R,11,P,,,,,EMPTY TOP,GUN,,,,,,,,,SOLID WAX,SCRAMBLE,,,SLU,,,,,,,1
49,,1,10,-24,R,13,P,,,,,EMPTY TOP,GUN,,,,,,,,,PHONE,COMPLETE,,,SLU,,,,,,,1
50,,1,10,-37,R,0,P,,,,,SPREAD,GUN,,,,,,,,,CUP,"INTERCEPTION , TD",,,SLU,,,,,,,10
51,,0,10,-43,L,2,R,,,,,SPIKE,UC,,,,,,,,,,GAIN,,,SLU,,,,,,,12
52,,2,8,-45,M,0,P,,,,,SPIKE,UC,,,,,,,,,,INCOMPLETE,,,SLU,,,,,,,12
53,,3,8,-45,M,6,R,,,,,TRIPS,GUN,,,,WIDE,,,,,,GAIN,,,SLU,,,,,,,10
54,,4,2,49,L,16,P,,,,,TRIPS,GUN,,,,,,,,,TEMP,COMPLETE,,,SLU,,,,,,,10
55,,1,10,33,R,5,P,,,,,TOP,GUN,,,,,,,,,SOLID,COMPLETE,,,SLU,,,,,,,11
56,,2,5,28,R,6,R,,,,,TRIPS,GUN,,,,FAR,,,,,CUP,GAIN,,,SLU,,,,,,,10
57,,1,10,22,R,9,P,,,,,SPRINT,GUN,,,,H,,,,,SOLID SNAZ,COMPLETE,,,SLU,,,,,,,11
58,,1,10,10,R,9,P,,,,,TOP,GUN,,,,,,,,,SOLID,COMPLETE,,,SLU,,,,,,,11
59,,2,1,1,R,1,R,,,,,TRIGGER,UC,,,,,,,,,,"GAIN, TD",,,SLU,,,,,,,12
