PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
6,,0,10,-25,L,5,P,L,,TOP,,SPRINT,,,,X FLUTTER,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
7,,2,5,-30,R,-4,R,R,,SPRINT,,SPRINT,,,,Y SOAR,OFF,,,,,,RUSH,,,SLU,,,,,,,11
8,,3,9,-26,L,7,P,LM,,TOP,,TOP,,,,,OFF STR MID,,,,,,"PASS , COMP",,,SLU,,,,,,,11
14,,0,10,43,L,0,P,L,,TOP,,TOP,,,,Y SOAR,OFF,,,,,PEANUT,"PASS, INC",,,SLU,,,,,,,11
15,,2,10,43,L,-8,P,L,,TEX,,TEX,,,,,,,,,,,"PASS, COMP, PENALTY",,,SLU,,,,,,,12
16,,3,18,-49,R,19,P,R,,TEX,,TEX,,,,,,,,,,,"PASS , COMP",,,SLU,,,,,,,11
17,,1,10,32,L,0,R,L,,TUB,,TUB,,,,T HOME,EMPTY,,,,,,RUSH,,,SLU,,,,,,,12
18,,2,10,32,L,0,P,LM,,TAP,,TAP,,,,,OFF,,,,,BUTTER,"PASS, INC",,,SLU,,,,,,,11
19,,3,10,32,L,2,P,LM,,TOP,,TOP,,,,,,,,,,SAN DIEGO,"PASS , COMP",,,SLU,,,,,,,11
20,,4,8,30,R,,P,R,,TOP,,SPRINT,,,,H FLIGHT,OPEN,,,,,,"PASS, COMP, PENALTY",,,SLU,,,,,,,11
33,,0,10,-14,R,0,P,R,,SPRINT,,SPRINT,,,,T FLUTTER,,,,,,,"PASS, INC",,,SLU,,,,,,,11
34,,2,10,-14,R,4,R,R,,SPILL,,SPILL,,,,,,,,,,,RUSH,,,SLU,,,,,,,12
35,,3,6,-18,R,5,R,R,,SPRINT,,SPRINT,,,,,OPEN,,,,,TEMP,"PASS , COMP",,,SLU,,,,,,,11
43,,0,10,-25,L,6,R,L,,TOP,,TOP,,,,Y SOAR,OFF STR PILE,,,,,,RUSH,,,SLU,,,,,,,11
44,,2,4,-31,L,7,P,L,,SPRINT,,SPRINT,,,,,OPEN,,,,,,"PASS , COMP",,,SLU,,,,,,,11
45,,1,10,-38,R,0,P,R,,TOP,,TOP,,,,,OFF,,,,,,"PASS, INC",,,SLU,,,,,,,11
46,,2,10,-38,R,18,P,R,,TOP,,TOP,,,,Y SOAR,OFF,,,,,PEANUT,"PASS , COMP",,,SLU,,,,,,,11
47,,1,10,44,R,0,P,R,,SPREAD,,SPREAD,,,,,,,,,,,PASS INC,,,SLU,,,,,,,11
48,,2,10,44,R,7,P,R,,SPRINT,,SPRINT,,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
49,,3,3,37,R,2,P,R,,SPREAD,,SPREAD,WEAK,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
50,,4,1,35,R,2,R,R,,TOP,,TOP,,,,,STR STACK,,,,,,RUSH,,,SLU,,,,,,,11
52,,2,10,34,R,-1,P,R,,TEX,,TEX,,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
53,,3,11,35,L,-1,P,L,,SPRINT,,TOP,,,,Z FLIGHT,OFF,,,,,,"PASS , COMP",,,SLU,,,,,,,11
66,,0,10,-22,L,5,P,L,,FLEX,,FLEX,,,,H SOAR,WK MID,,,,,CUP,"PASS , COMP",,,SLU,,,,,,,11
67,,2,5,-27,L,6,P,L,,SPRINT,,SPRINT,,,,,,,,,,TEMP,"PASS , COMP",,,SLU,,,,,,,11
68,,1,10,-33,R,4,P,R,,TOP,,TOP,,,,,OPEN,,,,,,"PASS, SCRAMBLE",,,SLU,,,,,,,11
69,,2,6,-37,R,-1,P,R,,TEX,,SPRINT,,,,X ACROSS,,,,,,,"PASS , COMP",,,SLU,,,,,,,11
