PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
70,,3,7,-36,R,0,P,R,,TOP,,TOP,,,,,OFF STR MID,,,,,,"PASS , INC",,,SLU,,,,,,,11
82,,0,10,-16,L,2,R,L,,TEX,,TEX,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
84,,0,10,-26,L,0,P,L,,SPRINT,,SPRINT,,,,,,,,,,,"PASS , INC",,,SLU,,,,,,,11
85,,2,10,-26,L,-2,R,L,,TAP,,TAP,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
86,,3,12,-24,L,-5,,L,,TOP,,SPRINT,,,,H FLIGHT,,,,,,,PENALTY NP,,,SLU,,,,,,,11
87,,3,17,-19,L,-3,P,L,,SPRINT,,SPRINT,,,,,,,,,,,"PASS, SACK",,,SLU,,,,,,,11
98,,0,10,-25,L,0,P,L,,TEX,,SPRINT,,,,X FLIGHT,,,,,,,"PASS , INC",,,SLU,,,,,,,11
99,,2,10,-25,L,1,R,L,,,,,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
100,,3,9,-26,L,-1,P,L,,TEX,,SPRINT,,,,X ACROSS,,,,,,,"PASS , COMP",,,SLU,,,,,,,11
107,,0,10,-18,L,8,P,L,,TRIPS,,SPRINT,,,,Y SNIP,OFF,,,,,,"PASS , COMP",,,SLU,,,,,,,11
108,,2,2,-26,L,0,R,L,,,,,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
109,,3,2,-26,M,10,P,LM,,FLEX,,FLEX,STRONG,,,H SOAR,,,,,,,"PASS , COMP",,,SLU,,,,,,,11
110,,1,10,-36,L,18,P,L,,TOP,,TOP,,,,Y SOAR,OFF,,,,,PEANUT,"PASS , COMP",,,SLU,,,,,,,11
111,,1,10,46,L,9,P,L,,TOP,,SPRINT,,,,H FLIGHT,,,,,,,"PASS , COMP",,,SLU,,,,,,,11
112,,2,1,37,L,4,P,L,,SWEAT,,SWEAT,,,,,OFF,,,,,,"PASS , COMP",,,SLU,,,,,,,11
113,,1,10,33,R,4,R,R,,SPRINT,,SPRINT,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
114,,2,6,29,R,4,P,R,,TOP,,SPRINT,,,,X FLUTTER,H,,,,,,"PASS , COMP",,,SLU,,,,,,,11
115,,3,2,25,L,-8,R,L,,TOP,,SPRINT,WEAK,,,H ACROSS,Z OPEN,,,,,,"PASS , SCRAMBLE , PENALTY",,,SLU,,,,,,,11
116,,3,10,33,L,0,P,L,,TAP,,TAP,,,,,OPEN,,,,,,"PASS, INC",,,SLU,,,,,,,11
117,,4,10,33,L,-10,P,L,,TAP,,TAP,STRONG,,,,STR MID,,,,,,"PASS , COMP , PENALTY",,,SLU,,,,,,,11
137,,0,10,-25,L,10,P,L,,TOP,,TOP,,,,,OFF,,,,,,"PASS , COMP",,,SLU,,,,,,,11
138,,1,10,-35,R,1,R,R,,TUB,,SPILL,,,,Z FLIGHT,,,,,,,RUSH,,,SLU,,,,,,,12
139,,2,9,-36,L,7,P,L,,TAP,,TAP,,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
140,,3,2,-43,R,0,P,R,,,,,STRONG,,,,,,,,,,"PASS, INC",,,SLU,,,,,,,11
141,,4,2,-43,R,0,,R,,TOP,,SPRINT,,,,H ACROSS,,,,,,,"PASS, INC",,,SLU,,,,,,,11
152,,0,10,-25,L,0,R,L,,TEX,,TEX,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
153,,2,10,-25,L,2,R,L,,TEX,,TEX,,,,,,,,,,,RUSH,,,,,,,,,,11
51,,1,10,34,R,0,P,R,,TOP,,TOP,,,,,,,,,,,"PASS , INC",,,,,,,,,,11
