PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
131,,2,10,-26,R,10,P,R,,SPRINT,,SPRINT,,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
132,,1,10,-36,R,0,,R,,SPRINT,,SPRINT,,,,,OFF,,,,,,TIMEOUT NP,,,SLU,,,,,,,11
133,,1,10,-36,R,8,R,R,,SPRINT,,SPRINT,,,,,OFF,,,,,,RUSH,,,SLU,,,,,,,11
134,,2,2,-44,R,2,P,R,,SPRINT,,SPRINT,,,,,DBL SNUG,,,,,TEMP,"PASS, COMP",,,SLU,,,,,,,11
135,,1,10,-46,R,0,P,R,,TOP,,SPRINT,WEAK,,,Z ACROSS,,,,,,CALL,"PASS, INC",,,SLU,,,,,,,11
136,,2,10,-46,R,24,P,R,,TOP,,TOP,,,,,OFF,,,,,CHARGER RT,"PASS, COMP",,,SLU,,,,,,,11
137,,1,10,30,R,0,P,RM,,TOP,,SPRINT,WEAK,,,H FLIGHT,DBL SNUG,,,,,CUP RT,"PASS, INC",,,SLU,,,,,,,11
138,,2,10,30,R,10,R,R,,SPRINT,,SPRINT,WEAK,,,X SPEED,Z,,,,,,RUSH,,,SLU,,,,,,,11
139,,1,10,20,L,6,P,L,,TOP,,SPRINT,WEAK,,,Y TRADE,OFF,,,,,CALL,"PASS, COMP",,,SLU,,,,,,,11
140,,2,4,14,L,12,P,LM,,SPRINT,,TOP,WEAK,,,Y TRADE,OPEN,,,,,TEMP,"PASS, INC, PENALTY",,,SLU,,,,,,,11
141,,1,2,2,L,2,R,LM,,TOP,,,,,,,,,,,,,"RUSH,TD",,,SLU,,,,,,,11
