YEAR,PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
2024,103,,3,20,-23,R,5,P,R,,TOP,,TOP,STRONG,,,,,,,,,BOLT LT,"PASS, COMP",,,,,,,,,,11
2024,115,,0,10,-31,R,-3,P,R,,TAP,,TAP,WEAK,,,,Y OPEN,,,,,CALL,"PASS, SACK",,,SLU,,,,,,,11
2024,116,,2,13,-28,R,1,P,R,,SWEAT,,SWEAT,,,,,EMPTY,,,,,,"PASS, COMP",,,SLU,,,,,,,1
2024,117,,3,14,-27,L,4,P,LM,,SPRINT,,SPRINT,,,,,,,,,,CUP RT,"PASS, SCRAMBLE",,,,,,,,,,11
2024,124,,0,10,-33,L,6,P,L,,SWEAT,,SWEAT,WEAK,,,,,,,,,BOLT RT,"PASS, COMP",,,SLU,,,,,,,11
2024,125,,2,4,-39,R,17,P,R,,TRIPS,,TRIPS,WEAK,,,Y SOAR,,,,,,CUP RT,"PASS, COMP",,,SLU,,,,,,,11
2024,126,,1,10,44,L,0,P,L,,TAP,,TAP,WEAK,,,,Y OPEN,,,,,CALL,"PASS, INC",,,SLU,,,,,,,11
2024,127,,2,10,44,L,0,P,L,,TOP,,TOP,WEAK,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
2024,128,,1,10,44,L,9,P,L,,SPRINT,,SPRINT,,,,,,,,,,TEMP,"PASS, COMP",,,SLU,,,,,,,11
2024,129,,2,1,35,L,4,P,L,,TAP,,TAP,WEAK,,,,Y OPEN,,,,,CALL,"PASS, COMP",,,SLU,,,,,,,11
2024,130,,1,10,31,L,0,P,L,,TOP,,TOP,,,,,,,,,,CUP RT,"PASS, INC",,,SLU,,,,,,,11
2024,131,,2,10,31,L,6,P,LM,,TAP,,TAP,,,,,Y OPEN,,,,,CUP RT,"PASS, COMP",,,SLU,,,,,,,11
2024,132,,3,4,25,L,25,P,LM,,SPRINT,,SPRINT,WEAK,,,,,,,,,CUP RT,"PASS, TD",,,,,,,,,,11
2024,141,,0,10,-30,R,2,P,M,,SPRINT,,SPRINT,,,,,,,,,,CUP LT,"PASS, COMP",,,SLU,,,,,,,11
2024,142,,2,8,-32,R,28,P,R,,TOP,,TOP,,,,,,,,,,CUP LT,"PASS, COMP",,,SLU,,,,,,,11
2024,143,,1,10,40,R,9,P,R,,TOP,,TOP,,,,,Y OPEN,,,,,CUP RT,"PASS, COMP",,,SLU,,,,,,,11
2024,144,,2,1,31,R,2,P,L,,SPRINT,,TOP,,,,Y FLIGHT,,,,,,CUP RT,"PASS, SCRAMBLE",,,SLU,,,,,,,11
2024,145,,1,10,29,R,0,P,L,,TOP,,SPRINT,,,,Y FLIGHT,OFF,,,,,SAN DIEGO RT,"PASS, INC",,,SLU,,,,,,,11
2024,146,,2,10,29,R,5,P,L,,TOP,,SWEAT,,,,Z FLIGHT,,,,,,CUP LT,"PASS, COMP",,,SLU,,,,,,,11
2024,147,,2,5,24,R,11,R,L,,TAP,,TAP,WEAK,,,,OFF,,,,,,RUSH,,,SLU,,,,,,,11
2024,148,,1,10,15,R,15,P,L,,TOP,,TOP,STRONG,,,,,,,,,CUP RT,"PASS, TD",,,,,,,,,,11
2024,166,,0,10,25,R,4,P,L,,TEX,,TEX,WEAK,,,,,,,,,CUP RT,"PASS, COMP",,,SLU,,,,,,,ALPHA
2024,167,,2,6,21,R,0,P,L,,TOP,,TOP,WEAK,,,,OPEN,,,,,CALL,"PASS, INC",,,SLU,,,,,,,11
2024,168,,3,6,21,R,0,P,L,,SPRINT,,SPRINT,,,,,STR SNUG,,,,,TEMP,"PASS, INC",,,,,,,,,,11
