YEAR,PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
2024,6,,0,10,-42,L,3,P,L,,SPREAD,,SPREAD,,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
2024,7,,2,7,-45,L,0,P,L,,,,,,,,,,,,,,,"PASS, INC",,,SLU,,,,,,,11
2024,8,,3,7,-45,L,7,P,L,,SPRINT,,SPRINT,WEAK,,,,,,,,,CUP RT,"PASS, COMP",,,SLU,,,,,,,11
2024,9,,1,10,48,L,9,R,L,,,,,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
2024,10,,2,1,39,L,4,R,L,,TAP,,TAP,STRONG,,,,,,,,,,RUSH,,,SLU,,,,,,,11
2024,11,,1,10,35,L,0,P,LM,,TAP,,TAP,WEAK,,,,OPEN,,,,,CALL,"PASS, INC",,,SLU,,,,,,,11
2024,12,,2,10,35,L,1,R,LM,,SPRINT,,SPRINT,,,,,OFF,,,,,,RUSH,,,SLU,,,,,,,11
2024,13,,3,9,34,M,-2,P,RM,,TRIPS,,TRIPS,,,,,,,,,,CUP RT,SACK,,,,,,,,,,11
2024,19,,0,10,-46,L,-5,,L,,TOP,,TOP,,,,,,,,,,,PENALTY NO PLAY,,,SLU,,,,,,,11
2024,20,,1,15,-41,L,6,R,L,,TEX,,TEX,WEAK,,,,H,,,,,,RUSH,,,SLU,,,,,,,11
2024,21,,2,9,-47,R,0,P,R,,TAP,,TAP,WEAK,,,,,,,,,CALL,"PASS, INC",,,SLU,,,,,,,11
2024,22,,3,9,-47,R,16,P,R,,TOP,,TOP,STRONG,,,,OPEN,,,,,CUP LT,"PASS, COMP",,,SLU,,,,,,,11
2024,23,,1,10,37,R,8,P,R,,,,,,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
2024,24,,2,2,29,R,20,P,R,,TOP,,TOP,WEAK,,,,OFF,,,,,CALL,"PASS, COMP",,,SLU,,,,,,,11
2024,25,,1,9,9,M,-2,R,M,,TIN,,TIN,,,,,,,,,,,RUSH,,,SLU,,,,,,,12
2024,26,,2,11,11,R,0,P,RM,,TOP,,TOP,,,,,,,,,,TEMP,"PASS, INC",,,SLU,,,,,,,11
2024,27,,3,11,11,R,2,R,R,,SPILL,,SPILL,STRONG,,,,,,,,,,RUSH,,,,,,,,,,BEEF
2024,40,,0,10,-30,R,0,P,R,,EMPTY,,SWEAT,,,,,EMPTY H,,,,,CALL,"PASS, INC",,,SLU,,,,,,,1
2024,41,,2,10,-30,R,9,P,R,,TRIPS,,SPRINT,,,,Y SNIP,OFF,,,,,,"PASS, COMP",,,SLU,,,,,,,11
2024,42,,3,1,-39,R,0,R,R,,,,,,,,,,,,,,,RUSH,,,,,,,,,,12
2024,48,,0,10,-32,L,-2,R,LM,,TEX,,TEX,STRONG,,,,H,,,,,,RUSH,,,SLU,,,,,,,ALPHA
2024,49,,2,12,-30,L,7,P,LM,,TOP,,SPRINT,,,,X FLUTTER,H,,,,,,"PASS, COMP",,,SLU,,,,,,,ALPHA
2024,50,,3,5,-37,R,-1,R,R,,TEX,,TEX,STRONG,,,,,,,,,,RUSH,,,,,,,,,,ALPHA
2024,55,,0,10,-25,R,0,R,R,,TOP,,TOP,WEAK,,,,Z,,,,,,RUSH,,,SLU,,,,,,,11
2024,56,,2,10,-25,R,32,P,R,,SPRINT,,SPRINT,,,,X SOAR,,,,,,CHARGER LT,"PASS, COMP",,,SLU,,,,,,,11
2024,57,,1,10,43,R,21,P,R,,SWEAT,,SWEAT,STRONG,,,,,,,,,CUP LT,"PASS, COMP",,,SLU,,,,,,,11
2024,100,,0,10,-33,R,-15,P,R,,SPREAD,,SPREAD,,,,,,,,,,TEMP,"PASS, COMP, PENALTY",,,SLU,,,,,,,11
2024,58,,1,10,22,R,0,,,,,,,,,,,,,,,,,TIMEOUT NP,,,SLU,,,,,,,
2024,59,,1,10,22,R,0,P,R,,TOP,,TOP,,,,,Z,,,,,CALL,"PASS, INC",,,SLU,,,,,,,ALPHA
2024,60,,2,10,22,R,0,R,R,,TAP,,TAP,,,,,OFF,,,,,,RUSH,,,SLU,,,,,,,11
2024,61,,3,10,22,L,22,P,LM,,TOP,,SWEAT,STRONG,,,Z FLIGHT,,,,,,CUP RT,"PASS, TD",,,,,,,,,,11
2024,69,,0,10,-32,R,-2,P,R,,TOP,,TOP,,,,,OFF,,,,,,"PASS, COMP",,,SLU,,,,,,,11
2024,70,,2,12,-30,L,1,R,L,,TOP,,TOP,,,,,,,,,,,RUSH,,,SLU,,,,,,,11
2024,71,,3,11,-31,R,5,P,RM,,TOP,,TOP,,,,,,,,,,CUP LT,"PASS, COMP",,,,,,,,,,11
2024,87,,0,10,-24,M,-5,,M,,,,,,,,,,,,,,,NO PLAY PENALTY,,,SLU,,,,,,,
2024,88,,1,15,-19,M,15,P,M,,SWEAT,,SWEAT,,,,,OPEN H,,,,,CUP RT,"PASS, INC",,,SLU,,,,,,,11
2024,89,,1,10,-34,M,0,P,M,,,,,,,,,,,,,,,"PASS, INC",,,SLU,,,,,,,11
2024,90,,2,10,-34,M,3,P,LM,,TAP,,TAP,,,,,,,,,,CALL,"PASS, COMP",,,SLU,,,,,,,11
2024,91,,3,7,-37,L,4,P,L,,SPRINT,,SPRINT,WEAK,,,,,,,,,BOLT RT,"PASS, SCRAMBLE",,,,,,,,,,11
2024,101,,1,25,-18,R,7,P,R,,SPREAD,,SPREAD,,,,,,,,,,,"PASS, COMP",,,SLU,,,,,,,11
2024,102,,2,18,-25,R,-2,P,R,,SPRINT,,SPRINT,,,,,,,,,,CUP LT,SACK,,,SLU,,,,,,,11
