PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
2,,0,10,-38,L,1,R,,,,,TEX,GUN,,,,WIDE / UP,,,,,,GAIN,,,SLU,,,,,,,11
3,,2,9,-39,L,3,P,,,,,TOP,GUN,,,,STR PILE / WK MID,,,,,,"PASS , COMP",,,SLU,,,,,,,11
4,,3,6,-42,R,0,P,,,,,TEX,GUN,,,,WIDE / UP,,,,,CHARGER LT,THROW AWAY,,,SLU,,,,,,,11
16,,0,10,-25,L,0,P,,,,,SUPER SPREAD,GUN,,,,,,,,,,NO GAIN,,,SLU,,,,,,,10
17,,2,10,-25,R,4,R,,,,,TEX,GUN,,,,UP,,,,,,GAIN,,,SLU,,,,,,,11
18,,3,6,-29,L,0,P,,,,,SWEAT,GUN,,,,WK WIDE / UP,,,,,,"PASS , INC",,,SLU,,,,,,,11
30,,0,10,-20,L,6,P,,,,,TOP,GUN,,,H OUT,STR PILE / WK MID / UP,,,,,RUN RT,"PASS , COMP",,,SLU,,,,,,,11
31,,2,4,-26,R,5,R,,,,,TEX,GUN,,,,WIDE,,,,,,GAIN,,,SLU,,,,,,,11
32,,1,10,-31,R,-8,P,,,,,TOP,GUN,,,H OUT,STR PILE / DOWN,,,,,SOLID 6 LT ST,SACK,,,SLU,,,,,,,11
33,,2,18,-23,L,4,R,,,,,TUB,GUN,,,,Z,,,,,,GAIN,,,SLU,,,,,,,12
34,,3,14,-27,L,2,R,,,,,SWEAT,GUN,,,X SOAR,WK WIDE,,,,,,GAIN,,,SLU,,,,,,,11
40,,0,10,-24,R,-5,P,,,,,,,,,,,,,,,,PENALTY,,,SLU,,,,,,,
