YEAR,PLAY #,GOOD EXAMPLE / TEACH TAPE,DN,DIST,YARD LN,HASH,GN/LS,R/P,HASH (SLU),O PERS,FORMATION FAMILY,FORMATION,OFF FORM,BACKFIELD,FIB,FORM ADJ,MOTION,FORMATION TAG,OFF PLAY,RUN TYPE,PASS CONCEPT,PASS TYPE,PROTECTION,PLAY RESULT,CARRIER/TARGET,PLAY DIR,TEAM,DC COMMENT,DL COACH COMMENT,LB COACH COMMENT,CB COACH COMMENT,SAF COACH COMMENT,DB COACH COMMENT,PERSONNEL
2023,135,,3,17,-38,L,0,P,L,,,,SPREAD,,,,,,,,,,,"PASS, INC",19,R,Union College,,,,,,,10
2023,141,,0,10,-36,R,1,R,R,,,,TOP,,,,,,,,,,,RUSH,27,R,Union College,,,,,,,11A
2023,143,,3,9,-37,R,15,P,R,,,,SPREAD,,,,,,,,,,,"PASS, INC",5,R,Union College,,,,,,,10
2023,144,,1,10,-37,R,15,P,R,,,,TEX,,,,,,,,,,,"PASS, INC, PENALTY",2,R,Union College,,,,,,,11A
2023,145,,2,8,48,R,6,R,R,,,,TIN,,,,,,,,,,,RUSH,27,L,Union College,,,,,,,12
2023,146,,2,8,40,L,0,P,L,,,,SPRINT,,,,Y IN,,,,,,,"PASS, COMP",19,R,Union College,,,,,,,11A
2023,147,,4,2,40,L,-1,R,L,,,,TEX,,,,,,,,,,,RUSH,6,,Union College,,,,,,,11A
2023,148,,4,2,40,L,1,R,L,,,,TEX,,,,,,,,,,,RUSH,6,R,Union College,,,,,,,11A
2023,153,,0,10,-30,R,0,P,RM,,,,TOP,,,,,,,,,,,"PASS, INC",5,L,Union College,,,,,,,11A
2023,154,,2,10,-30,R,3,R,RM,,,,TOP,,,,,,,,,,,RUSH,22,R,Union College,,,,,,,11A
2023,155,,3,7,-33,R,0,P,R,,,,TOP,,,,,OPEN,,,,,,"PASS, COMP",5,L,Union College,,,,,,,11A
2023,161,,0,10,-34,L,2,R,L,,,,TOP,,,,,,,,,,,RUSH,22,L,Union College,,,,,,,11A
2023,162,,2,8,-36,M,0,R,M,,,,SPRINT,,,,Y IN,,,,,,,RUSH,22,L,Union College,,,,,,,11A
2023,163,,3,8,-36,M,0,P,M,,,,TEX,,,,,,,,,,,"PASS, INC",22,R,Union College,,,,,,,11A
